user_id,item_id,rating,title
196,242,3,Kolya (1996)
186,302,3,L.A. Confidential (1997)
22,377,1,Heavyweights (1994)
244,51,2,Legends of the Fall (1994)
166,346,1,Jackie Brown (1997)
253,465,5,"Jungle Book, The (1994)"
305,451,3,Grease (1978)
6,86,3,"Remains of the Day, The (1993)"
62,257,2,Men in Black (1997)
286,1014,5,Romy and Michele's High School Reunion (1997)
200,222,5,Star Trek: First Contact (1996)
210,40,3,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
224,29,3,Batman Forever (1995)
303,785,3,Only You (1994)
291,1042,4,Just Cause (1995)
234,1184,2,"Endless Summer 2, The (1994)"
119,392,4,"Man Without a Face, The (1993)"
167,486,4,Sabrina (1954)
299,144,4,Die Hard (1988)
291,118,2,Twister (1996)
308,1,4,Toy Story (1995)
38,95,5,Aladdin (1992)
102,768,2,Casper (1995)
160,234,5,Jaws (1975)
50,246,3,Chasing Amy (1997)
301,98,4,"Silence of the Lambs, The (1991)"
290,88,4,Sleepless in Seattle (1993)
97,194,3,"Sting, The (1973)"
157,274,4,Sabrina (1995)
181,1081,1,Curdled (1996)
278,603,5,Rear Window (1954)
7,32,4,Crumb (1994)
10,16,4,French Twist (Gazon maudit) (1995)
284,304,4,Fly Away Home (1996)
201,979,2,"Trigger Effect, The (1996)"
276,564,3,Tales from the Hood (1995)
287,327,5,Cop Land (1997)
242,1137,5,Beautiful Thing (1996)
249,241,5,"Last of the Mohicans, The (1992)"
99,4,5,Get Shorty (1995)
178,332,3,Kiss the Girls (1997)
81,432,2,Fantasia (1940)
260,322,4,Murder at 1600 (1997)
25,181,5,Return of the Jedi (1983)
59,196,5,Dead Poets Society (1989)
87,384,4,Naked Gun 33 1/3: The Final Insult (1994)
115,20,3,Angels and Insects (1995)
20,288,1,Scream (1996)
201,219,4,"Nightmare on Elm Street, A (1984)"
13,526,3,Ben-Hur (1959)
246,919,4,"City of Lost Children, The (1995)"
138,26,5,"Brothers McMullen, The (1995)"
167,232,1,Young Guns (1988)
60,427,5,To Kill a Mockingbird (1962)
57,304,5,Fly Away Home (1996)
223,274,4,Sabrina (1995)
189,512,4,Wings of Desire (1987)
92,1049,1,House Arrest (1996)
194,165,4,Jean de Florette (1986)
241,690,2,Seven Years in Tibet (1997)
254,1444,3,That Darn Cat! (1965)
293,5,3,Copycat (1995)
127,229,5,Star Trek III: The Search for Spock (1984)
225,237,5,Jerry Maguire (1996)
299,229,3,Star Trek III: The Search for Spock (1984)
225,480,5,North by Northwest (1959)
276,54,3,Outbreak (1995)
291,144,5,Die Hard (1988)
267,518,5,Miller's Crossing (1990)
42,403,3,Batman (1989)
11,111,4,"Truth About Cats & Dogs, The (1996)"
95,625,4,"Sword in the Stone, The (1963)"
8,338,4,Bean (1997)
162,25,4,"Birdcage, The (1996)"
87,1016,4,Con Air (1997)
279,154,5,Monty Python's Life of Brian (1979)
145,275,2,Sense and Sensibility (1995)
62,382,3,"Adventures of Priscilla, Queen of the Desert, The (1994)"
28,209,4,This Is Spinal Tap (1984)
135,23,4,Taxi Driver (1976)
32,294,3,Liar Liar (1997)
90,382,5,"Adventures of Priscilla, Queen of the Desert, The (1994)"
286,208,4,Young Frankenstein (1974)
293,685,3,Executive Decision (1996)
216,144,4,Die Hard (1988)
166,328,5,Conspiracy Theory (1997)
250,496,4,It's a Wonderful Life (1946)
271,132,5,"Wizard of Oz, The (1939)"
160,174,5,Raiders of the Lost Ark (1981)
265,118,4,Twister (1996)
168,151,5,Willy Wonka and the Chocolate Factory (1971)
58,144,4,Die Hard (1988)
90,648,4,"Quiet Man, The (1952)"
62,21,3,Muppet Treasure Island (1996)
279,832,3,Bogus (1996)
237,514,4,Annie Hall (1977)
94,789,4,Swimming with Sharks (1995)
128,485,3,My Fair Lady (1964)
44,195,5,"Terminator, The (1984)"
264,200,5,"Shining, The (1980)"
194,385,2,True Lies (1994)
72,195,5,"Terminator, The (1984)"
250,264,3,Mimic (1997)
41,265,3,"Hunt for Red October, The (1990)"
224,245,3,"Devil's Own, The (1997)"
82,135,3,2001: A Space Odyssey (1968)
262,1147,4,My Family (1995)
216,658,3,Pump Up the Volume (1990)
250,140,3,Homeward Bound: The Incredible Journey (1993)
59,23,5,Taxi Driver (1976)
286,379,5,Tales From the Crypt Presents: Demon Knight (1995)
244,815,4,One Fine Day (1996)
7,479,4,Vertigo (1958)
174,368,1,Bio-Dome (1996)
87,274,4,Sabrina (1995)
194,1211,2,Blue Sky (1994)
82,1134,2,Get on the Bus (1996)
13,836,2,Ninotchka (1939)
13,272,4,Good Will Hunting (1997)
244,756,2,Father of the Bride Part II (1995)
95,787,2,Roommates (1995)
43,14,2,"Postino, Il (1994)"
299,955,4,Before Sunrise (1995)
57,419,3,Mary Poppins (1964)
269,504,4,Bonnie and Clyde (1967)
299,111,3,"Truth About Cats & Dogs, The (1996)"
194,466,4,Red Rock West (1992)
160,135,4,2001: A Space Odyssey (1968)
99,268,3,Chasing Amy (1997)
10,486,4,Sabrina (1954)
259,117,4,"Rock, The (1996)"
303,919,4,"City of Lost Children, The (1995)"
213,273,5,Heat (1995)
121,514,3,Annie Hall (1977)
49,559,2,Interview with the Vampire (1994)
42,794,3,It Could Happen to You (1994)
155,323,2,Dante's Peak (1997)
68,117,4,"Rock, The (1996)"
172,177,4,"Good, The Bad and The Ugly, The (1966)"
19,4,4,Get Shorty (1995)
268,231,4,Batman Returns (1992)
5,2,3,GoldenEye (1995)
305,117,2,"Rock, The (1996)"
44,294,4,Liar Liar (1997)
43,137,4,Big Night (1996)
279,1336,1,Kazaam (1996)
80,466,5,Red Rock West (1992)
298,281,3,"River Wild, The (1994)"
279,1240,1,Ghost in the Shell (Kokaku kidotai) (1995)
66,298,4,Face/Off (1997)
18,443,3,"Birds, The (1963)"
268,1035,2,Cool Runnings (1993)
99,79,4,"Fugitive, The (1993)"
7,455,4,Jackie Chan's First Strike (1996)
222,755,4,Jumanji (1995)
119,328,4,Conspiracy Theory (1997)
213,172,5,"Empire Strikes Back, The (1980)"
130,379,4,Tales From the Crypt Presents: Demon Knight (1995)
160,719,3,Canadian Bacon (1994)
293,1267,3,Clockers (1995)
26,930,2,Chain Reaction (1996)
130,216,4,When Harry Met Sally... (1989)
92,1079,3,Joe's Apartment (1996)
256,452,4,Jaws 2 (1978)
1,61,4,Three Colors: White (1994)
72,48,4,Hoop Dreams (1994)
56,755,3,Jumanji (1995)
13,360,4,Wonderland (1997)
15,405,2,Mission: Impossible (1996)
92,77,3,"Firm, The (1993)"
207,476,2,"First Wives Club, The (1996)"
292,174,5,Raiders of the Lost Ark (1981)
232,483,5,Casablanca (1942)
251,748,2,"Saint, The (1997)"
224,26,3,"Brothers McMullen, The (1995)"
181,220,4,"Mirror Has Two Faces, The (1996)"
305,471,4,Courage Under Fire (1996)
52,280,3,Up Close and Personal (1996)
161,202,5,Groundhog Day (1993)
148,408,5,"Close Shave, A (1995)"
125,235,2,Mars Attacks! (1996)
97,228,5,Star Trek: The Wrath of Khan (1982)
58,1098,4,Flirting With Disaster (1996)
83,234,4,Jaws (1975)
90,347,4,Wag the Dog (1997)
272,178,5,12 Angry Men (1957)
194,181,3,Return of the Jedi (1983)
110,688,1,Leave It to Beaver (1997)
299,14,4,"Postino, Il (1994)"
151,10,5,Richard III (1995)
269,127,4,"Godfather, The (1972)"
16,944,1,Renaissance Man (1994)
301,790,4,Tommy Boy (1995)
276,1091,3,Pete's Dragon (1977)
305,214,2,Pink Floyd - The Wall (1982)
194,1028,2,Grumpier Old Men (1995)
294,109,4,Mystery Science Theater 3000: The Movie (1996)
200,318,5,Schindler's List (1993)
229,328,1,Conspiracy Theory (1997)
178,568,4,Speed (1994)
303,842,2,Pollyanna (1960)
62,65,4,What's Eating Gilbert Grape (1993)
207,591,3,Primal Fear (1996)
92,172,4,"Empire Strikes Back, The (1980)"
301,401,4,"Brady Bunch Movie, The (1995)"
36,339,5,Mad City (1997)
63,242,3,Kolya (1996)
28,201,3,Evil Dead II (1987)
250,7,4,Twelve Monkeys (1995)
14,98,3,"Silence of the Lambs, The (1991)"
299,1018,3,Tie Me Up! Tie Me Down! (1990)
194,54,3,Outbreak (1995)
303,815,3,One Fine Day (1996)
119,237,5,Jerry Maguire (1996)
295,218,5,Cape Fear (1991)
268,930,2,Chain Reaction (1996)
268,2,2,GoldenEye (1995)
66,258,4,Contact (1997)
233,202,5,Groundhog Day (1993)
83,623,4,Angels in the Outfield (1994)
214,334,3,U Turn (1997)
192,476,2,"First Wives Club, The (1996)"
100,344,4,"Apostle, The (1997)"
268,145,1,"Lawnmower Man, The (1992)"
301,56,4,Pulp Fiction (1994)
307,89,5,Blade Runner (1982)
234,141,3,"20,000 Leagues Under the Sea (1954)"
181,264,2,Mimic (1997)
297,133,4,Gone with the Wind (1939)
38,153,5,"Fish Called Wanda, A (1988)"
7,382,4,"Adventures of Priscilla, Queen of the Desert, The (1994)"
264,813,4,"Celluloid Closet, The (1995)"
181,872,1,Love Jones (1997)
201,146,1,Unhook the Stars (1996)
85,507,4,"Streetcar Named Desire, A (1951)"
269,367,3,Clueless (1995)
59,468,3,Rudy (1993)
286,143,4,"Sound of Music, The (1965)"
193,96,1,Terminator 2: Judgment Day (1991)
113,595,5,"Fan, The (1996)"
292,11,5,Seven (Se7en) (1995)
130,1014,3,Romy and Michele's High School Reunion (1997)
275,98,4,"Silence of the Lambs, The (1991)"
189,520,5,"Great Escape, The (1963)"
219,82,1,Jurassic Park (1993)
218,209,5,This Is Spinal Tap (1984)
123,427,3,To Kill a Mockingbird (1962)
302,322,2,Murder at 1600 (1997)
279,501,3,Dumbo (1941)
301,79,5,"Fugitive, The (1993)"
181,3,2,Four Rooms (1995)
201,695,1,Kicking and Screaming (1995)
13,198,3,Nikita (La Femme Nikita) (1990)
1,189,3,"Grand Day Out, A (1992)"
145,237,5,Jerry Maguire (1996)
23,385,4,True Lies (1994)
201,767,4,"Addiction, The (1995)"
296,705,5,Singin' in the Rain (1952)
42,546,3,Broken Arrow (1996)
33,872,3,Love Jones (1997)
301,554,3,Waterworld (1995)
16,64,5,"Shawshank Redemption, The (1994)"
95,135,3,2001: A Space Odyssey (1968)
154,357,4,One Flew Over the Cuckoo's Nest (1975)
77,484,5,"Maltese Falcon, The (1941)"
296,508,5,"People vs. Larry Flynt, The (1996)"
302,303,2,Ulee's Gold (1997)
244,673,3,Cape Fear (1962)
222,77,4,"Firm, The (1993)"
16,705,5,Singin' in the Rain (1952)
270,452,4,Jaws 2 (1978)
145,15,2,Mr. Holland's Opus (1995)
187,64,5,"Shawshank Redemption, The (1994)"
200,304,5,Fly Away Home (1996)
170,749,5,"MatchMaker, The (1997)"
101,829,3,Fled (1996)
184,218,3,Cape Fear (1991)
128,204,4,Back to the Future (1985)
181,1295,1,Kicked in the Head (1997)
184,153,3,"Fish Called Wanda, A (1988)"
1,33,4,Desperado (1995)
1,160,4,Glengarry Glen Ross (1992)
184,321,5,Mother (1996)
54,595,3,"Fan, The (1996)"
128,508,4,"People vs. Larry Flynt, The (1996)"
23,323,2,Dante's Peak (1997)
301,227,3,Star Trek VI: The Undiscovered Country (1991)
301,191,3,Amadeus (1984)
112,903,1,Afterglow (1997)
82,183,3,Alien (1979)
218,430,3,Duck Soup (1933)
303,134,5,Citizen Kane (1941)
133,751,3,Tomorrow Never Dies (1997)
215,212,2,"Unbearable Lightness of Being, The (1988)"
69,256,5,When the Cats Away (Chacun cherche son chat) (1996)
254,662,4,Somewhere in Time (1980)
276,2,4,GoldenEye (1995)
104,984,1,Shadow Conspiracy (1997)
63,1067,3,Bottle Rocket (1996)
267,410,4,Kingpin (1996)
13,56,5,Pulp Fiction (1994)
286,237,2,Jerry Maguire (1996)
294,271,5,Starship Troopers (1997)
90,1086,4,It's My Party (1995)
18,26,4,"Brothers McMullen, The (1995)"
92,229,3,Star Trek III: The Search for Spock (1984)
308,649,4,Once Upon a Time in America (1984)
144,89,3,Blade Runner (1982)
191,302,4,L.A. Confidential (1997)
200,96,5,Terminator 2: Judgment Day (1991)
61,678,3,Volcano (1997)
271,199,4,"Bridge on the River Kwai, The (1957)"
271,709,3,Strictly Ballroom (1992)
142,169,5,"Wrong Trousers, The (1993)"
275,597,3,Eraser (1996)
87,40,3,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
207,258,4,Contact (1997)
272,1393,2,Stag (1997)
177,333,4,"Game, The (1997)"
207,1115,2,Twelfth Night (1996)
299,577,3,Coneheads (1993)
305,425,4,Bob Roberts (1992)
49,959,2,Dazed and Confused (1993)
94,1224,3,"Scout, The (1994)"
130,1017,3,Trees Lounge (1996)
10,175,3,Brazil (1985)
203,321,3,Mother (1996)
191,286,4,"English Patient, The (1996)"
21,558,5,Heavenly Creatures (1994)
197,96,5,Terminator 2: Judgment Day (1991)
13,344,2,"Apostle, The (1997)"
194,66,3,While You Were Sleeping (1995)
234,206,4,Akira (1988)
308,402,4,Ghost (1990)
269,522,5,Down by Law (1986)
94,265,4,"Hunt for Red October, The (1990)"
268,62,3,Stargate (1994)
272,12,5,"Usual Suspects, The (1995)"
296,20,5,Angels and Insects (1995)
180,462,5,Like Water For Chocolate (Como agua para chocolate) (1992)
104,117,2,"Rock, The (1996)"
38,758,1,Lawnmower Man 2: Beyond Cyberspace (1996)
7,163,4,"Return of the Pink Panther, The (1974)"
234,1451,3,Foreign Correspondent (1940)
275,405,2,Mission: Impossible (1996)
52,250,3,"Fifth Element, The (1997)"
102,823,3,Mulholland Falls (1996)
13,186,4,"Blues Brothers, The (1980)"
178,731,4,"Corrina, Corrina (1994)"
236,71,3,"Lion King, The (1994)"
256,781,5,French Kiss (1995)
279,1181,4,"Low Down Dirty Shame, A (1994)"
83,78,2,Free Willy (1993)
151,197,5,"Graduate, The (1967)"
254,436,2,"American Werewolf in London, An (1981)"
109,631,3,"Crying Game, The (1992)"
297,716,3,Home for the Holidays (1995)
249,188,4,Full Metal Jacket (1987)
144,699,4,Little Women (1994)
301,604,4,It Happened One Night (1934)
64,392,3,"Man Without a Face, The (1993)"
92,501,2,Dumbo (1941)
